date,open,high,low,close,volume,amount,turn,pctChg
2021-03-29,5052.2634,5086.6543,5010.3902,5046.8773,14338821500,266176599970.5,0.516871,0.176408
2021-03-30,5043.0952,5106.0365,5032.795,5094.7291,13861856000,254928014461.3,0.499678,0.948147
2021-03-31,5085.9497,5085.9497,5015.607,5048.3607,14133574300,241058485554.4,0.509322,-0.910125
2021-04-01,5059.9359,5115.4286,5056.8718,5110.7768,12032489000,211493324391.1,0.433589,1.236364
2021-04-02,5129.8545,5169.8312,5116.3472,5161.5569,12700225400,248060376224.1,0.457651,0.993589
2021-04-06,5178.6401,5181.149,5125.3301,5140.3418,10983421000,213852444065.4,0.395777,-0.411021
2021-04-07,5141.6556,5141.6556,5065.1932,5103.7428,14576374800,246271190296.5,0.525246,-0.711995
2021-04-08,5078.2627,5129.1318,5062.0725,5112.2086,14177104700,228422004674.7,0.510867,0.165874
2021-04-09,5100.0422,5100.0422,5022.0926,5035.3374,12841650900,221519791677.6,0.462744,-1.503679
2021-04-12,5026.9791,5045.6018,4933.0126,4947.7459,15264431400,267218195772.7,0.550005,-1.739536
2021-04-13,4949.8074,4994.5404,4924.1979,4939.6438,13291935800,225753230649.0,0.478854,-0.163753
2021-04-14,4945.6857,4987.1191,4940.2686,4980.6279,12086083800,221036276090.0,0.435412,0.829697
2021-04-15,4969.9099,4969.9099,4900.3033,4948.9741,10882938400,213820884103.5,0.392067,-0.635538
2021-04-16,4966.8999,4979.1731,4917.9596,4966.1811,11123992400,213389173713.5,0.400745,0.347688
2021-04-19,4966.409,5088.2106,4940.7473,5087.0165,15476982400,307899776737.5,0.55756,2.433165
2021-04-20,5065.7757,5119.8586,5058.9247,5083.3654,13654170000,276640588159.1,0.491852,-0.071773
2021-04-21,5055.2398,5110.5623,5047.9916,5098.7449,12463727700,242574995256.0,0.448816,0.302546
2021-04-22,5114.2799,5119.2246,5067.1382,5089.2435,12116764500,241488845756.1,0.436322,-0.186348
2021-04-23,5088.8263,5149.9825,5086.4914,5135.4534,12205699100,264345183118.9,0.439522,0.907992
2021-04-26,5156.5941,5181.1066,5072.9585,5077.2372,15138196700,325760384278.3,0.544998,-1.133614
2021-04-27,5076.6415,5095.9842,5042.6099,5090.5195,12396183700,254738009833.6,0.446281,0.261605
2021-04-28,5073.9728,5119.4455,5059.2628,5119.2421,12062031800,272182521893.2,0.434245,0.564237
2021-04-29,5128.2795,5170.5852,5113.6484,5164.1692,14009248000,294112454366.3,0.504335,0.877612
2021-04-30,5156.3557,5163.2517,5094.9285,5123.489,16012162100,315075102884.9,0.57639,-0.787739
2021-05-06,5098.8006,5132.8986,5037.4083,5061.1244,15882263000,323258264641.5,0.571602,-1.217229
2021-05-07,5073.4554,5093.7471,4996.037,4996.0527,17225832100,304638402155.0,0.619949,-1.285716
2021-05-10,5001.4371,5019.3927,4953.6965,4992.422,17082058500,282656808853.4,0.614635,-0.072671
2021-05-11,4956.0794,5033.4938,4925.9152,5023.0595,15152649700,270931616512.9,0.545074,0.61368
